card_select.avail_basic	此角色可使用基本角色卡來創造
pli_treasureboxevent.3	關閉
pli_treasureboxevent.4	購買鑰匙
pli_treasurerestoration.1	需要復原的寶物.
pli_treasurerestoration.2	需要要復原的媒介物.
pli_typeminigameview.1	{0} / {1}
pli_upgradeboxitem.0	提高採集速度
pli_upgradeboxitem.1	修理費增加
pli_upgradeboxitem.2	採集時,有一定幾率可以同時採集到2個
pli_upgradeboxitem.3	修理費增加
pli_upgradeboxitem.4	範圍攻擊時,增加攻擊距離
pli_upgradeboxitem.5	範圍攻擊時,減少攻擊距離
pli_upgradeboxitem.6	範圍攻擊時,增加攻擊角度
pli_upgradeboxitem.7	範圍攻擊時,減少攻擊角度
pli_upgradeboxitem.8	範圍攻擊時,增加攻擊傷害值
pli_upgradeboxitem.9	範圍攻擊時,減少攻擊傷害值
pli_upgradeboxitem.10	近距離攻擊自動防禦率
pli_upgradeboxitem.11	遠距離攻擊自動防禦率
pli_upgradeboxitem.12	魔法攻擊自動防禦率
pli_upgradeboxitem.13	採集率增加
pli_upgradeboxitem.14	連鎖反應
pli_upgradeboxitem.15	魔法值消耗量
pli_upgradeboxitem.16	魔法值蒸發量
pli_upgradeboxitem.17	施展速度
pli_upgradeboxitem.18	魔法傷害
pli_upgradeboxitem.19	缺少改造所必需的寶石.
pli_upgradeboxitem.20	以上
pli_upgradeboxitem.21	寶石可升級次數{0}~{1}次
pli_upgradeboxitem.22	???
pli_upgradeboxitem.23	銳利等級
pli_upgradeboxitem.24	音樂技能效果+{0}增加
pli_upgradeboxitem.25	音樂技能持續時間+{0}增加
pli_useralarm.1	鬧鈴 : {0} {1}
pli_useralarmdefine.1	下午
pli_useralarmdefine.2	上午
pli_userconcertmanagerview.1	選擇對象({0}名)
pli_userconcertmanagerview.2	請選擇對象.
pli_userconcertmanagerview.3	道具不足.
pli_userconcertmanagerview.4	請稍後再次嘗試
pli_userconcertmanagerview.5	演唱會結束
pli_userconcertmanagerview.6	確定要結束演唱會嗎?
pli_usercreateddungeonview.1	確定要關閉視窗嗎?
pli_usercreateddungeonview.2	艾爾班騎士團的訓練所進場失敗.
pli_usercreateddungeonview.3	一般
pli_usercreateddungeonview.4	1~3人
pli_usercreateddungeonview.5	{0}%
pli_usercreateddungeonview.6	{0}%
pli_usercreateddungeonview.7	+ 組隊成員
pli_usercreateddungeonview.8	{0}%
pli_usercreateddungeonview.9	{0}%
pli_usercreateddungeonview.10	+ 怪物
pli_usercreateddungeonview.11	一般
pli_usercreateddungeonview.12	中級
pli_usercreateddungeonview.13	高級
pli_usercreateddungeonview.14	最高級 一般
pli_usercreateddungeonview.15	最高級 中級
pli_usercreateddungeonview.16	{0}人
pli_usercreateddungeonview.17	增加
pli_usercreateddungeonview.18	減少
pli_usercreateddungeonview.19	封印
pli_usercreateddungeonview.20	戰士之場
pli_usercreateddungeonview.21	法師之場
pli_usercreateddungeonview.22	弓手之場
pli_usercreateddungeonview.23	寶石樂園
pli_usercreateddungeonview.24	意外的重逢
pli_usercreateddungeonview.25	連接攻擊之場
pli_usercreateddungeonview.26	神艾托恩的冶煉台
pli_usercreateddungeonview.27	解除被封印的樓層 [{0}]
pli_usercreateddungeonview.28	{0}才能修練值獲得量
pli_usercreateddungeonview.29	最大傷害值
pli_usercreateddungeonview.30	生命值恢復速度
pli_usercreateddungeonview.31	魔法恢復速度
pli_usercreateddungeonview.32	耐力恢復速度
pli_usercreateddungeonview.33	暴擊率
pli_usercreateddungeonview.34	近距離技能傷害
pli_usercreateddungeonview.35	魔法施展速度
pli_usercreateddungeonview.36	遠距離武器瞄準速度
pli_usercreateddungeonview.37	採集能力
pli_usercreateddungeonview.38	出血
pli_usercreateddungeonview.39	{0} {1} {2} {3}
pli_usercreatedtotemcomposeview.1	請放上要作為材料的徽章.
pli_usercreatedtotemcomposeview.2	{0} LV{1} -> {2} LV{3}\n
pli_usercreatedtotemcomposeview.3	{0} LV1 增加\n
pli_usercreatedtotemcomposeview.4	下列中的其中一個會被套用.
pli_usercreatedtotemcomposeview.5	沒有道具.
pli_usercreatedtotemcomposeview.6	確定要合成所選的兩個徽章嗎?
pli_usercreatedtotemcomposeview.7	\n等級 4 以上, 或 4種類以上的素值被合成的情況\n 失敗時兩個徽章皆會被破壞.
pli_usercreatedtotemcomposeview.8	圖騰合成
pli_usercreatedtotemcomposeview.9	已發動的圖騰是無法合成的.
pli_usercreatedtotemcomposeview.10	無法再用此材料的徽章來進行合成.\n 請放上擁有其他素值效果的徽章.
pli_usercreatedtotemcomposeview.11	請放上要作為材料的徽章.
pli_usercreatedtotemcomposeview.12	只有相同種類的徽章可以合成.
pli_usershopsearchview.1	查看道具
pli_usershopsearchview.2	商店街
pli_usershopsearchview.3	小賣店
pli_visualchatdrawingview.1	油畫布
pli_visualchatdrawingview.2	在選擇的區域填滿顏色.
pli_visualchatdrawingview.3	清除整個畫面.
pli_visualchatdrawingview.4	上一步.
pli_visualchatdrawingview.5	選擇顏色.\n選擇的顏色在刷子跟油漆上使用.
pli_visualchatdrawingview.6	選擇圓型態的刷子.
pli_visualchatdrawingview.7	選擇四角形態的刷子.
pli_visualchatdrawingview.8	選擇刷子.
pli_visualchatdrawingview.9	刷子大小 :
pli_visualchatdrawingview.10	找回
pli_visualchatdrawingview.11	圖畫對話資料夾中把儲存的圖案移過來.
pli_visualchatdrawingview.12	臨時儲存
pli_visualchatdrawingview.13	臨時儲存繪畫中的圖.\n如原本有臨時儲存的內容時會把內容蓋過.
pli_visualchatdrawingview.14	送出
pli_visualchatdrawingview.15	選擇繪畫的圖往連結的分流送出.
pli_visualchatdrawingview.16	關閉
pli_visualchatdrawingview.17	關閉視窗. 繪畫的圖消失.
pli_visualchatdrawingview.18	對方的名字
pli_visualchatdrawingview.19	結束
pli_visualchatdrawingview.20	有在作業中的圖案.\n真的要關閉嗎?
pli_visualchatdrawingview.21	錯誤
pli_visualchatdrawingview.22	空白的圖案無法儲存.
pli_visualchatdrawingview.23	錯誤\nError
pli_visualchatdrawingview.24	臨時儲存失敗.
pli_visualchatdrawingview.25	把油畫布臨時儲存.\n儲存的圖案可透過找回選項確認.
pli_visualchatdrawingview.26	錯誤
pli_visualchatdrawingview.27	請輸入要傳送密語對象的名字.
pli_visualchatdrawingview.28	錯誤
pli_visualchatdrawingview.29	空白的圖案無法傳送.
pli_visualchatimageloadview.1	查看圖畫對話圖
pli_visualchatimageloadview.2	關閉
pli_visualchatimageloadview.3	每12個
pli_visualchatimageloadview.4	每24個
pli_visualchatimageloadview.5	每36個
pli_visualchatimageloadview.6	依時間順序查看
pli_visualchatimageloadview.7	依名字順序查看
pli_visualchatimageloadview.8	圖案不存在.
pli_visualchatimageloadview.9	發生異常而把視窗關閉了.\n請再次試試.
pli_visualchatimageloadview.10	按下按鈕把圖片以油畫布找回.\n\n
pli_visualchatimageloadview.11	畫的人\n<color=1>{0}</color>\n\n
pli_visualchatimageloadview.12	臨時儲存的圖畫.
pli_visualchatimageloadview.13	{0}年 {1}月 {2}日\n{3}點 {4}分 {5}秒
pli_visualchatimageloadview.14	刪除
pli_visualchatimageloadview.15	把這圖畫對話的圖刪除.
pli_visualchatimageloadview.16	臨時儲存圖案
pli_visualchatimageloadview.17	真的要刪除嗎?
pli_visualchatimageloadview.18	錯誤
pli_visualchatimageloadview.19	無法刪除檔案.
pli_visualchatimageloadview.20	惡魔貓
pli_visualchatimageloadview.21	最近傳送的圖畫對話.
pli_visualchatimageloadview.22	基本提供的圖畫對話.
pli_visualchatimageloadview.23	最近傳送的圖案
pli_visualchatimagesaveview.1	圖畫對話圖儲存在圖畫對話資料夾裡.
pli_visualchatimagesaveview.2	儲存圖畫對話圖時失敗了.
pli_visualchatimageview.1	圖畫對話圖
pli_visuallockview.1	輸入密碼
pli_visuallockview.2	密碼
pli_visuallockview.3	現在密碼
pli_visuallockview.4	解除銀行鎖
pli_visuallockview.5	新密碼
pli_visuallockview.6	確認新密碼
pli_visuallockview.7	若要解除銀行鎖的話在新密碼部份要空白處理.
pli_visuallockview.8	確認
pli_visuallockview.9	密碼是最少要4個字以上.
pli_visuallockview.10	跟新設定的密碼不同.
pli_visuallockview.11	密碼錯誤.
pli_visuallockview.12	輸入銀行密碼
pli_visuallockview.13	銀行密碼初始化\n可在首頁 [個人選單]中\n進行.
pli_waterballoonbattleview.1	紅隊 : {0}分
pli_waterballoonbattleview.2	藍隊 : {0}分
pli_waterballoonbattleview.3	活動接受申請中
pli_waterballoonbattleview.4	活動結束了
pli_waterballoonbattleview.5	個人分數 : {0}分
pli_waterballoonbattleview.6	剩下時間 : {0}分 {1}秒
pli_weaponskinapplyview.1	此為無法使用的道具.
pli_weaponskinapplyview.2	無法登錄卷軸.
pli_weaponskinapplyview.3	使用道具失敗.
pli_weaponskinapplyview.4	沒有武器外型卷軸.
pli_weaponskinapplyview.5	使用後卷軸會消失, 且外型被變更的武器是無法交易的. 確定要進行嗎?
pli_weaponskinapplyview.6	使用過的卷軸會消失, 外型被變更的裝備無法交易. 真的確定要進行嗎?
pli_weaponskinextractionview.1	此為無法使用的道具.
pli_weaponskinextractionview.2	沒有武器外型變更卷軸.
pli_weaponskinextractionview.3	輸出使用後的武器會消失, 外型會被記錄在卷軸上. 確定要進行嗎?
pli_weaponskinextractionview.4	被使用在粹取上的裝備會消失, 外型會被記錄在卷軸上. 真的確定要進行嗎?
pli_weaponskinextractionview.5	<color=5>[注意 : 目前被選擇的裝備為已被強化的道具.]</color>\n
pli_weaponskinremoveview.1	此為無法使用的道具.
pli_weaponskinremoveview.2	沒有武器外型復原卷軸.
pli_weaponskinremoveview.3	使用後卷軸會消失, 且武器的外型會恢復原狀. 確定要進行嗎?
pli_weaponskinremoveview.4	使用過的卷軸會消失, 裝備外型會恢復原狀. 真的確定要進行嗎?
pli_webbrowsermgr.1	본인 확인
pli_webbrowsermgr.2	본인 확인
pli_weeklycontertapplyview.1	下午
pli_weeklycontertapplyview.2	早上
pli_weeklycontertapplyview.3	{0}月 {1}日 {2} {3}時 ~ {4}時
pli_weeklycontertapplyview.4	{0} Gold
pli_weeklycontertapplyview.5	{0} {1} 公演場
pli_weeklycontertapplyview.6	{0} 申請
pli_weeklycontertapplyview.7	投標金額必須 0還要大才行.
pli_weeklycontertapplyview.8	無法使用比銀行餘額更多的金額來投標.
pli_weeklycontertapplyview.9	公演標題中無法輸入禁字.
pli_weeklycontertapplyview.10	公演標題最多可輸入中文 15字, 英文 30字.
pli_weeklycontertapplyview.11	公演標題最少必須為中文 2字, 英文 4字以上才行.
pli_weeklycontertapplyview.12	確定要繼續申請米列希安音樂會嗎?
pli_weeklycontertapplyview.13	公演申請已被取消.
pli_weeklycontertapplyview.14	標題若為空白文字時無法使用.
pli_weeklycontertapplyview.15	無法輸入特殊文字.
pli_whitedayview.1	送出訊息以及白色情人節禮物
pli_whitedayview.2	請輸入要收到白色情人節禮物的角色名稱
pli_whitedayview.3	Send Moon Cake With Message\n送寫短信的月餅
pli_whitedayview.4	請輸入收到此月餅的角色名
pli_windowachievement.1	成就日記
pli_windowachievement.2	自己分數 : {0} 分
pli_windowachievement.3	對方分數 : {0} 分
pli_windowachievement.4	關閉
pli_windowachievement.5	整體
pli_windowachievement.6	整體
pli_windowachievement.7	個人分數\n({0})
pli_windowachievement.8	{0} / {1} ({2}%)
pli_windowachievement.9	對方分數\n({0})
pli_windowachievement.10	{0} / {1} ({2}%)
pli_windowachievementframes.1	{0} 分
pli_windowachievementframes.2	{0} 分
pli_windowachieveview.0	只剩下{0}!
pli_windowachieveview.1	獲得{0}.
pli_windowachieveview.2	發現{0} .
pli_windowachieveview.3	특별한 색으로 염색되었다.
pli_windowachieveview.4	특별한 색으로 {0}의 염색에 성공했다!
pli_windowachieveview.5	평범한 색으로 염색되었다.
pli_windowachieveview.6	평범한 색으로 {0}의 염색에 성공했다!
pli_windowaddnewfriend.1	新增好友
pli_windowaddnewfriend.2	角色名稱
pli_windowaddnewfriend.3	伺服器名稱
pli_windowaddnewfriend.4	無法把自己新增為好友.
pli_windowai.1	請輸入關鍵字.
pli_windowai.2	Enable\nFile Change Notifier\n啟動檔案變更檢索器
pli_windowai.3	Disaable\nFile Change Notifier\n關閉檔案變更檢索器
pli_windowarenaframe.1	加入組隊{0:time_string}之後將移動到競技場.
pli_windowarenaframe.2	目前已施展的技能在開始對戰時會被解除.\n{0:time_string}之後開始.
pli_windowarenaframe.3	{0:time_string}之後開始.")
pli_windowarenaframe.4	各隊伍隊長點選準備完畢按鈕就開始競技場戰鬥
pli_windowbag.1	鍊金術結晶背包
pli_windowbag.2	낚시 전용 가방
pli_windowbag.3	標籤
pli_windowbag.4	標籤
pli_windowbag.5	{0}的持有物品
pli_windowbag.6	請{0}秒後再試.
pli_windowbag.7	為無法排列的背包,或是臨時背包未清空.
pli_windowbag.8	背包內部存在無法移動的道具.
pli_windowbag.9	排列
pli_windowbag.10	排列背包的道具.
pli_windowbag.11	排列
pli_windowbag.12	排列背包的道具.
pli_windowbag.13	{0}秒後可以進行排列.
pli_windowbag.14	為無法排列的背包,或是臨時背包未清空.
pli_windowbag.15	因為有發動的圖騰,因此無法排列.
pli_windowbag.16	保管箱
pli_windowballoon.1	{0}的\n
pli_windowbank.1	請稍候...
pli_windowbank.2	人類
pli_windowbank.3	精靈
pli_windowbank.4	獲得銀行情報失敗.
pli_windowbank.5	巨人
pli_windowbank.6	秒
pli_windowbank.7	分鐘
pli_windowbank.8	此道具使用時間已過期因此雖然把它帶來這裡但拿出來此道具會立即消失.\n\n
pli_windowbank.9	此道具使用時間剩下 {0}{1} 因此雖然把它帶來這裡但拿出來此道具會立即消失.\n\n
pli_windowbank.10	此道具使用時間剩下 {0}{1} 因此雖然把它帶來這裡但拿出來此道具會立即消失.\n\n
pli_windowbank.11	設定密碼
pli_windowbank.12	此道具在 [{0}]中.\n要拿來這裡需要 {1}分鐘\n運送費為 {2} Gold 即時移動會消耗 {3} Gold. 要拿到此銀行嗎?
pli_windowbank.13	即時移動
pli_windowbank.14	配送
pli_windowbank.15	此道具在 [{0}]中.\n要拿來這裡需要 {1}秒\n運送費為 {2} Gold 即時移動會消耗 {3} Gold. 要拿到此銀行嗎?
pli_windowbank.16	今日的特殊禮物已經領取
pli_windowbattlegroundframe.1	"\n公會員 : {0}名"
pli_windowbattlegroundframe.2	\n公會分數 : {0}分
pli_windowbattlegroundframe.3	\n個人分數 : {0}分
pli_windowbattlegroundframe.4	\n[公會排行榜]
pli_windowbattlegroundframe.5	\n{0} : {1}分
pli_windowbattlegroundframe.6	\n\n[個人排行榜]
pli_windowbattlegroundframe.7	\n{0} : {1}分
pli_windowbeginnerwarpbook.1	你要移動到{0}嗎?
pli_windowboardballoon.1	{0} (以{1}來隱藏)
pli_windowboardballoon.2	使用嘉年華會排隊隊伍中無法加入隊伍.
pli_windowboardballoon.3	使用嘉年華會中無法加入隊伍.
pli_windowbossraiddungeoncomplete.1	完成任務
pli_windowbossraiddungeoncomplete.2	難度
pli_windowbossraiddungeoncomplete.3	完成時間
pli_windowbossraiddungeoncomplete.4	道具
pli_windowbossraiddungeoncomplete.5	無法行動
pli_windowbossraiddungeoncomplete.6	秘密拼圖
pli_windowbossraiddungeoncomplete.7	成功
pli_windowbossraiddungeoncomplete.8	失敗
pli_windowbossraiddungeoncomplete.9	初級
pli_windowbossraiddungeoncomplete.10	中級
pli_windowbossraiddungeoncomplete.11	高級
pli_windowbossraiddungeoncomplete.12	困難
pli_windowbossraiddungeoncomplete.13	初級
pli_windowbossraiddungeoncomplete.14	{0}分 {1}秒
pli_windowbossraiddungeoncomplete.15	{0}次
pli_windowbossraiddungeoncomplete.16	{0}次
pli_windowbossraiddungeoncomplete.17	{0}個
pli_windowbuy.1	騎士競技積分分數 : {0} 分
pli_windowbuy.2	我的目前騎士競技積分 : {0} 分
pli_windowbuy.3	{0} : {1} 個
pli_windowbuy.4	交易後的道具, 可交易次數會減少 1 .\n當交易次數變為 0時, 就無法進行交易了.\n要進行交易嗎?
pli_windowbuy.5	告知
pli_windowbuy.6	杜卡特價格 : {0} 杜卡特
pli_windowbuy.7	目前我的杜卡特 : {0} 杜卡特
pli_windowbuy.8	星星價格 : {0:HuntStar_Price} 星星
pli_windowbuy.9	目前所持有的星星 : {0} 星星
pli_windowbuy.10	期間 {0:Day_Limit} 天\n
pli_windowbuy.11	{0:Day_limit_力量ing}價格 : {1:Pawn_Price} PON\n目前個人所持有的PON : {2:Current_Pawn} PON
pli_windowbuy.12	{0}美容幣中將使用 {1}美容幣.\n 請問要使用嗎?
pli_windowbuy.13	價錢 : 冒險家的印章 {0}個 \n現在我的冒險家的印章 : {1}個
pli_windowbuy.14	價格 : {0} {1}個 \n目前我的 {0} : {2}個
pli_windowbuy.15	無法購買商品\n裝備道具只可預覽
pli_windowbuy.16	背景轉換
pli_windowbuy.17	一次購買個數
pli_windowbuy.18	保有的{0}不足.
pli_windowbuy.19	擁有騎士競技積分不足.
pli_windowbuy.20	杜卡特不足.
pli_windowbuy.21	星星不夠.
pli_windowbuy.22	美容室代幣不足.
pli_windowbuy.23	保有的{0}不足.
pli_windowbuy.24	背包內的金額不足.
pli_windowcampballoon.1	{0} (以{1}來隱藏)
pli_windowcampsharing.0	房屋分享
pli_windowcardselect.0	需要基本精靈卡.
pli_windowcardselect.1	需要優質精靈卡.
pli_windowcardselect.2	需要基本巨人卡.
pli_windowcardselect.3	需要優質巨人卡.
